JAPANESE WORD,JAPANESE WORD WITH KANA,ENGLISH WORD,PART OF WORD,SYNONYM,PHONETICS,SENTENCE ID,JAPANESE SENTENCE,JAPANESE HIGHLIGHT,JAPANESE SENTENCE WITH KANA,ENGLISH SENTENCE,ENGLISH SENTENCE WITH CLOZE,ENGLISH AUDIO FILE
状態,状態(じょうたい),status,Noun,,ˈstætəs,008,QAしてもらえる状態のものがありますか。,状態,QAしてもらえる状態(じょうたい)のものがありますか。,Is there anyone whose status is ready for QA? / Is there anything with a status that is ready for QA?,Is there anyone whose s{{tatus}} is ready for QA? / Is there anything with a s{{tatus}} that is ready for QA?,008.mp3
課題,課題(かだい),issue,Noun,,ˈɪʃu,009,課題が見つかった。,課題,課題(かだい)が見(み)つかった。,We found some issues.,We found some i{{ssues}}.,009.mp3
要件,要件(ようけん),requirements,Noun,,rɪˈkwaɪrmənts,010,要件は明日、テックリード(TL)に共有します。,要件,要件(ようけん)は明日(あした)、TLに共有(きょうゆう)します。,I'll share the requirements with the TLs tomorrow.,I'll share the r{{equirements}} with the TLs tomorrow.,010.mp3
仕様,仕様(しよう),spec,Noun,specification,spɛk,011,まだ仕様が決まってない。,仕様,まだ仕様(しよう)が決(き)まってない。,The specs haven't been decided yet.,The s{{pecs}} haven't been decided yet.,011.mp3
固まる,固(かた)まる,take shape,Verb,,teɪk ʃeɪp,012,まだ仕様が固まっていません。,固まっ,まだ仕様(しよう)が固(かた)まっていません。,The specs haven't taken shape yet.,The specs haven't t{{aken}} {{shape}} yet.,012.mp3
支障をきたす,支障(ししょう)をきたす,"interfere ",Noun,,"ˌɪntərˈfɪr ",013,それによってプロジェクトに支障が出ています。,支障が出,それによってプロジェクトに支障(ししょう)が出(で)ています。,It interferes with our project.,It i{{nterferes}} with our project.,013.mp3
影響,影響(えいきょう),effect,Noun,,ɪˈfɛkt,014,これは、お客様に影響があるインシデントじゃないです。,影響,これは、お客様(きゃくさま)に影響(えいきょう)があるインシデントじゃないです。,This is not an incident that has an effect on customers.,This is not an incident that has an e{{ffect}} on customers.,014.mp3
原因,原因(げんいん),cause,Noun,,kɑz,015,これから原因を調べます。,原因,これから原因(げんいん)を調(しら)べます。,I will look into the causes now.,I will look into the c{{auses}} now.,015.mp3
相談する,相談(そうだん)する,consult,Verb,,kənˈsʌlt,016,マネージャーに相談する。,相談する,マネージャーに相談(そうだん)する。,I'll consult with my manager.,I'll c{{onsult}} with my manager.,016.mp3
困る,困(こま)る,have difficulties,Verb,,hæv ˈdɪfəkəltiz,017,何か困ってることがありますか。,困っ,何(なに)か困(こま)ってることがありますか。,Do you have any difficulties?,Do you h{{ave}} any d{{ifficulties}}?,017.mp3
[人/チームと]連携する,[人(ひと)/チームと]連携(れんけい)する,be with [sb] on doing [sth],Verb,,bi wɪð ɑn ˈduɪŋ,018,このタスクはteam Bと連携してやっていきます。,連携してやっ,このタスクはteam Bと連携(れんけい)してやっていきます。,We are with Team B on doing this task.,We are w{{ith}} Team B o{{n}} {{doing}} this task.,018.mp3
認識を合わせる,認識(にんしき)を合(あ)わせる,sync,Verb,,sɪŋk,019,あとでテックリード(TL)と認識を合わせておきます。,認識を合わせ,あとでテックリード(TL)と認識(にんしき)を合(あ)わせておきます。,I will sync with TL later.,I will s{{ync}} with TL later.,019.mp3
設定する,設定(せってい)する,set,Verb,,sɛt,020,目標を設定する。,設定する,目標(もくひょう)を設定(せってい)する。,I'll set goals / I am setting goals.,I'll s{{et}} goals / I am s{{etting}} goals.,020.mp3
反映する,反映(はんえい)する,reflect,Verb,,rəˈflɛkt,021,先週修正したけど、Jiraに反映されてません。,反映さ,先週(せんしゅう)修正(しゅうせい)したけど、Jiraに反映(はんえい)されてません。,"I edited it last week, but it isn't reflected on Jira yet.","I edited it last week, but it isn't r{{eflected}} on Jira yet.",021.mp3
効率がよい,効率(こうりつ)がよい,efficient,Noun,,ɪˈfɪʃənt,022,そのやり方は、効率がよさそう。,効率がよさ,そのやり方(かた)は、効率(こうりつ)がよさそう。,That method seems efficient.,That method seems e{{fficient}}.,022.mp3
